Step,Node_Index,R,G,B,diffR,diffG,diffB
400,59,201.655,49.19,63.064,7.718,5.166,5.741
400,60,65.696,172.156,133.658,-3.169,1.003,2.458
400,61,68.881,188.989,142.651,1.322,-4.497,5.537
400,62,71.977,199.917,149.437,8.495,-0.694,6.146
400,63,83.967,189.337,157.714,2.15,3.43,-3.21
400,64,88.058,172.768,151.128,-4.462,7.748,1.424
400,65,107.681,143.857,148.344,3.644,5.319,0.808
400,66,126.248,108.08,132.803,3.152,7.876,10.484
400,67,163.298,65.51,101.26,21.293,8.292,3.933
400,68,172.098,49.432,93.172,20.056,6.544,3.589
400,69,181.85,41.803,85.344,18.667,0.283,2.967
400,70,42.274,147.46,107.663,5.086,14.007,16.255
400,71,42.425,160.857,118.403,4.909,13.563,14.289
400,72,41.547,168.711,121.027,7.044,6.774,14.714
